"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Historical Document Image Denoising by Ising Model","G. Chen; Q. Chen; Y. Chen; X. Zhu","Department of Computer Science Guangdong, University of Education, Guangdong, China; Department of Computer Science Guangdong, University of Education, Guangdong, China; Department of Computer Science Guangdong, University of Education, Guangdong, China; Department of Computer Science Guangdong, University of Education, Guangdong, China","2020 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","11 Nov 2020","2020","","","457","461","In this paper, we propose a historical document image denoising method based on Ising-like model and Anisotropic filter. Physical statistics and morphological smooth process are combined together to improve image particulars. We first apply an Ising model to the 8-th bit plane of the original historical document image, then the image energy field and density is through Ising dynamic evolution. After the image is processed, it has been smoothed by Anisotropic morphological for several times. At last, we get the restored image document. We compare the visual quality changes before and after Ising evolution in different Anisotropic morphological condition respectively. Experimental results demonstrate that the Ising evolved image can better restore the local area details of the degraded historical document image.","","978-1-7281-6609-4","10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00086","National Natural Science Foundation of China; Natural Science Foundation of Guangdong Province; Sun Yat-sen University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251178","Historical Document;Image Denoising;Ising Model","Image quality;Visualization;Smoothing methods;Graphical models;Image restoration;Noise measurement;Image denoising","","","","19","IEEE","11 Nov 2020","17-22 Aug. 2020","17-22 Aug. 2020","IEEE","IEEE Conferences"
"An Effective Image Denoising Approach Based on Denoising with Image Interpolation","A. Jain; A. S. Jalal","Department of Computer Engineering and Applications, GLA University, Mathura, India; Department of Computer Engineering and Applications, GLA University, Mathura, India",2023 IEEE World Conference on Applied Intelligence and Computing (AIC),"2 Oct 2023","2023","","","698","702","Image denoising is a task to remove corrupted pixels from the image. The corrupted pixel betides to the image while capturing and transmission from various sources. For image denoising, many filtering approaches are used in literature. However, the resolution of the image deteriorated due to denoising. Therefore, In the proposed work, denoising is unified with upsampling to get a noise-free informative and magnificent image. In the proposed approach first denoising is performed with the Weighted median filter to remove noise from the image. The Weighted median filter has been extensively used and preferred as it minimizes loss of information by filtering out background noise without generating unrealistic pixels and providing more weightage to the central pixel. The denoised image is then upsampled to have good visual perception quality. Considering the PSNR and SSIM, it has been evident that the proposed method effectively outcompetes the simple denoising methods.","","979-8-3503-1006-1","10.1109/AIC57670.2023.10263909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10263909","Denoising;Interpolation;Upsampling","Interpolation;Image resolution;Image edge detection;Noise reduction;Information filters;Background noise;Task analysis","","1","","20","IEEE","2 Oct 2023","29-30 July 2023","29-30 July 2023","IEEE","IEEE Conferences"
"Two-Stage Convolutional Neural Network for Medical Noise Removal via Image Decomposition","Y. Chang; L. Yan; M. Chen; H. Fang; S. Zhong","National Key Laboratory of Science and Technology on Multispectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; National Key Laboratory of Science and Technology on Multispectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; National Key Laboratory of Science and Technology on Multispectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; School of Software, Xidian University, Xi’an, China; National Key Laboratory of Science and Technology on Multispectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China",IEEE Transactions on Instrumentation and Measurement,"13 May 2020","2020","69","6","2707","2721","Most of the existing medical image denoising methods focus on estimating either the image or the residual noise. Moreover, they are usually designed for one specific noise with a strong assumption of the noise distribution. However, not only the random independent Gaussian or speckle noise but also the structurally correlated ring or stripe noise is ubiquitous in various medical imaging instruments. Explicitly modeling the distributions of these complex noises in the medical image is extremely hard. They cannot be accurately held by the Gaussian or mixture of Gaussian model. To overcome the two drawbacks, in this paper, we propose to treat the image and noise components equally and convert the image denoising task into an image decomposition problem naturally. More precisely, we present a two-stage deep convolutional neural network (CNN) to model both the noise and the medical image simultaneously. On the one hand, we utilize both the image and noise to separate them better. On the other hand, the noise subnetwork serves as a noise estimator which guides the image subnetwork with sufficient information about the noise, thus we could easily handle different noise distributions and noise levels. To better cope with the gradient vanishing problem in this very deep network, we introduce both the short-term and long-term connections in the network which could promote the information propagation between different layers efficiently. Extensive experiments have been performed on several kinds of medical noise images, such as the computed tomography and ultrasound images, and the proposed method has consistently outperformed state-of-the-art denoising methods.","1557-9662","","10.1109/TIM.2019.2925881","National Natural Science Foundation of China(grant numbers:61571207,61433007,41501371); Hubei Provincial Natural Science Foundation of China(grant numbers:2018CFA089); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8753718","Convolutional neural network (CNN);image decomposition;image denoising;medical image","Mathematical model;Computed tomography;Image decomposition;Image denoising;Medical diagnostic imaging;Noise reduction","","73","","57","IEEE","2 Jul 2019","June 2020","","IEEE","IEEE Journals"
"Adaptive Bilateral Filter: A Robust Image Denoising Model Based on Local Variance","L. Bo","University of Electronic Science and Technology of China, Chengdu, China",2025 4th International Conference on Electronic Information Technology (EIT),"14 Nov 2025","2025","","","589","593","Image denoising is a fundamental task in computer vision, essential for improving image quality in applications such as medical imaging and remote sensing. Traditional filtering methods, including Gaussian, median, and bilateral filters, offer computational efficiency but often suffer from limitations like edge blurring or parameter sensitivity. This paper proposes a novel adaptive bilateral filter model based on local variance, which dynamically adjusts the range parameter to enhance noise adaptability and edge preservation without significantly increasing computational complexity. Experiments on standard test images (Lena, Cameraman, and Walkbridge) with Gaussian and salt-and-pepper noise demonstrate that the proposed model achieves superior PSNR and SSIM values compared to traditional methods, particularly in preserving structural integrity and edges under varying noise conditions, while maintaining low computational overhead suitable for resource-constrained environments. Comparative analysis shows the proposed model outperforms baselines in edge preservation and robustness, making it highly practical for engineering applications. This work emphasizes the continued relevance of traditional methods enhanced by adaptive techniques in an era dominated by deep learning.","","979-8-3315-7605-9","10.1109/EIT67313.2025.11231922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11231922","Image Denoising;Gaussian Filter;Median Filter;Bilateral Filter;Adaptive Parameter;PSNR;SSIM","Adaptation models;Filters;Sensitivity;Image edge detection;Computational modeling;Noise;Noise reduction;Robustness;Standards;Image denoising","","","","12","IEEE","14 Nov 2025","22-24 Aug. 2025","22-24 Aug. 2025","IEEE","IEEE Conferences"
"On Prediction of Image Denoising Expedience Using Neural Networks","A. Rubel; O. Rubel; V. Lukin","Department of Information and Communication Technologies, National Aerospace University “KhAI”, Kharkiv, Ukraine; Department of Information and Communication Technologies, National Aerospace University “KhAI”, Kharkiv, Ukraine; Department of Information and Communication Technologies, National Aerospace University “KhAI”, Kharkiv, Ukraine",2018 International Scientific-Practical Conference Problems of Infocommunications. Science and Technology (PIC S&T),"3 Feb 2019","2018","","","629","634","Assessment of image visual quality is important for different stages of image processing chain. One of them is denoising that can either improve image quality or remain it the same (or even degrade). Our paper concerns the question on whether or not the use of denoising is expedient for a given image. A common model of additive white Gaussian noise (AWGN) is used. Analysis of denoising expedience is based on prediction of visual quality for acquired noisy image. A peculiarity of the proposed approach is that it employs a trained neural networks (NN) and does not require a priori known noise variance. The NN uses features extracted from spectral domain as inputs and carries out prediction of visual quality metrics for noisy image. The prediction is much faster than denoising itself and appropriately accurate. Besides, this paper evaluates the existing full-reference image quality metrics with application to image denoising using Spearman rank-order correlation coefficient (SROCC). The best SROCC values do not exceed 0.81. The image database and codes are available online at https://github.com/ViA-RiVaL/Image-Denoising-Expedience/.","","978-1-5386-6611-1","10.1109/INFOCOMMST.2018.8632050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632050","image quality;image denoising;prediction algorithms;artificial neural networks;multilayer perceptrons","Visualization;Noise reduction;Image quality;Noise measurement;Image denoising;AWGN","","3","","53","IEEE","3 Feb 2019","9-12 Oct. 2018","9-12 Oct. 2018","IEEE","IEEE Conferences"
"Medical Image Denoising and Brain Tumor Detection Using CNN and U-Net","B. D. Shivahare; S. K. Gupta; A. N. Katiyar; P. S; P. Singh; M. Diwakar","Dr. APJ Abdul Kalam Technical University, Lucknow, India; Deptt. of CSE, B.I.E.T, Jhansi, India; Amazon web services, India; Department of Computer Science Engineering, Graphic Era Deemed to be University, Dehradun, India; School of Computer Science Engineering and Technology, Bennett University, Greater Noida, India; Department of Computer Science Engineering, Graphic Era Deemed to be University, Dehradun, India",2023 3rd International Conference on Innovative Sustainable Computational Technologies (CISCT),"21 Dec 2023","2023","","","1","5","The process of medical imaging, which incorporates images produced by X-rays, ultrasound imaging, angiography, etc., is intricate. During the imaging process, image noise is also captured, some of which are very corrosive, causing a disturbance that impairs the quality of the image. The challenge of removing destructive Gaussian additive white noise from medical images while maintaining the fine features is addressed by the suggested approach. The concept of method noise is combined with a deep learning-based framework for a convolutional neural network (CNN), using method noise as a post-processing operation, to create the proposed technique. Brain tumor detection over noisy images is much difficult with better accuracy. Hence in this paper we proposed a method for denoising as well as for brain tumor detection using CNN and U-Net. By explicitly adding Gaussian additive white noise at various noise variance values (= 10, 15, 20, 25, 30), distorted images are produced. The generated denoised images' aesthetic appeal and quantitative metrics, such as peak signal-to-noise ratio (PSNR) and structural similarity index (SSIM), are next assessed. The results are also contrasted with those of other non-traditional methods to evaluate the effectiveness of the suggested methodology further. The findings of the critical examination demonstrate the proposed methodology's admirable effectiveness in degaussing the medical images that had been tainted by Gaussian noise. This method can be applied in a variety of real-world contexts in the realm of medical image processing.","","979-8-3503-0336-0","10.1109/CISCT57197.2023.10351338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10351338","CNN;image denoising;method noise;curvelet transform","PSNR;Computed tomography;Noise reduction;X-rays;Additive white noise;Convolutional neural networks;Biomedical image processing","","13","","18","IEEE","21 Dec 2023","8-9 Sept. 2023","8-9 Sept. 2023","IEEE","IEEE Conferences"
"Self-Supervised Denoising Under Variations Between Adjacent Slices for Fluorescence Microscopy Image Stacks","Q. Luo; G. Yang","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China",2024 IEEE International Symposium on Biomedical Imaging (ISBI),"22 Aug 2024","2024","","","1","5","Fluorescence microscopy is a critically important imaging technique for biological studies, enabling researchers to vi-sualize cellular structures and processes with high resolution and molecular specificity. Because the presence of noise in fluorescence microscopy is inevitable in practice, image de-noising is required in a wide variety of applications. Considering the challenge of acquiring paired images for supervised training of denoising models, this work proposes a self-supervised denoising algorithm. The algorithm is inspired by Noise2Noise, utilizing the similarity between adjacent slices in microscopy image stacks to construct training pairs. Concurrently, it incorporates additional regularization terms to mitigate the influence of variations in the underlying signals between adjacent slices. The algorithm has been tested on publicly available real-world datasets, and its effectiveness was validated through a series of comparative experiments and ablation studies. The code for this work is openly accessible at https://github.com/chill-luo/SDUV.","1945-8452","979-8-3503-1333-8","10.1109/ISBI56570.2024.10635311","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635311","Fluorescence Microscopy Image Stacks;Image Denoising;Self-supervised Learning","Training;Degradation;Image resolution;Microscopy;Noise reduction;Noise;Fluorescence","","1","","21","IEEE","22 Aug 2024","27-30 May 2024","27-30 May 2024","IEEE","IEEE Conferences"
"Neuro-fuzzy system based on particle swarm optimization algorithm for image denoising application","M. Elloumi; M. Krid; D. S. Masmoudi","Sfax Engineering School BP W, Sfax, Tunisia; Sfax Engineering School BP W, Sfax, Tunisia; Sfax Engineering School BP W, Sfax, Tunisia",2015 International Conference on Advances in Biomedical Engineering (ICABME),"12 Nov 2015","2015","","","9","12","In this paper, we investigate the Neuro-Fuzzy System (NFS) design based on Particle Swarm Optimization (PSO) algorithm. The problem being studied concerns the optimal estimation of structure and parameters network. The common training algorithms such as gradient descent techniques are frequently used for NFS. However, they cannot possibly find the global optimum, which declines the network performance. The PSO is an optimization tool favoring global search in the feature space, constitutes therefore a more suitable method. The main purpose is to use the outstanding features of PSO in NFS training for any image processing function approximation. As illustration, we consider image denoising. The performance of the proposed method is validated on an image set and a comparison with other techniques is done. Experimental results prove the effectiveness of our approach and demonstrate that such system is strongly adaptive with respect to the noise type and leading to good restored images.","2377-5696","978-1-4673-6516-1","10.1109/ICABME.2015.7323238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7323238","PSO;NFS;function approximation;image denoising","Training;Image denoising;Algorithm design and analysis;Particle swarm optimization;Speckle;Input variables;Optimization","","2","","6","IEEE","12 Nov 2015","16-18 Sept. 2015","16-18 Sept. 2015","IEEE","IEEE Conferences"
"Hyperspectral image denoising with segmentation-based low rank representation","J. Ma; J. Jiang; C. Li","Electronic Information School, Wuhan University, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Electronic Information and Communications, Huazhong Univ. Sci. & Technol, Wuhan, China",2016 Visual Communications and Image Processing (VCIP),"5 Jan 2017","2016","","","1","4","Recently, low-rank representation (LRR) based hyperspectral image (HSI) denoising method has been proven to be a powerful tool for removing different kinds of noise simultaneously, such as Gaussian, dead pixels and impulse noise. However, the LRR based method cannot make full use of the spatial information in HSI. In this paper, we integrate the graph based segmentation (GS) into the LRR, and propose a novel denoising method named GS-LRR. We first use the principle component analysis (PCA) to obtain the first principle component of HSI. Then the graph based segmentation is adopted to the first principle component of HSI to get homogeneous regions. Finally, we employ the LRR to each homogeneous region of HSI, which enable us to simultaneously remove all the above mentioned mixed noise. Extensive experiments on both simulated and real HSIs demonstrate the efficiency of the proposed GS-LRR.","","978-1-5090-5316-2","10.1109/VCIP.2016.7805490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7805490","Denoising;graph based segmentation;hyper-spectral image;low-rank representation;mixed noise","Noise reduction;Principal component analysis;Hyperspectral imaging;Image segmentation;Gaussian noise;Noise measurement","","","","21","IEEE","5 Jan 2017","27-30 Nov. 2016","27-30 Nov. 2016","IEEE","IEEE Conferences"
"Texture-Enhanced Low Dose CT Image Denoising Using Pearson Divergence Loss","J. Oh; K. Kim; D. Wu; Q. Li","Center for Advanced Medical Computing and Analysis (CAMCA), Radiology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, US; Center for Advanced Medical Computing and Analysis (CAMCA), Radiology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, US; Center for Advanced Medical Computing and Analysis (CAMCA), Radiology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, US; Center for Advanced Medical Computing and Analysis (CAMCA), Radiology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, US",2022 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),"26 Jan 2024","2022","","","1","2","Low-dose Computed Tomography (LDCT) image denoising using deep learning methods with mean-square error (MSE) loss is known to fall into regression-to-mean problem which results in over-smoothed edges and loss of textures in the image. To overcome this issue, we are interested in the utilization of stochastic function to improve the texture instead of using complicated networks or feature (latent) space losses. In this paper, we proposed a combined loss containing the MSE loss to learn mean distribution and the Pearson divergence loss to learn feature textures. Specifically, the Pearson divergence loss is computed in an image space rather than a feature space to measure the distance between two intensity measures of denoised LDCT image and the normal-dose CT (NDCT) image. In results, we exploit the conventional U-net and demonstrate that the proposed combined loss provides visually enhanced textures compared to the conventional MSE loss.","2577-0829","978-1-6654-8872-3","10.1109/NSS/MIC44845.2022.10398929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398929","","Training;Computed tomography;Image edge detection;Mean square error methods;Extraterrestrial measurements;Loss measurement;Image denoising","","","","6","IEEE","26 Jan 2024","5-12 Nov. 2022","5-12 Nov. 2022","IEEE","IEEE Conferences"
"Correlative Analysis of Denoising Methods in Spectral Images Embedded with Different Noises","S. Annam; A. Singla","Department of Computer Science & Engineering, Chitkara University, Punjab, India; Department of Computer Science & Engineering, Chitkara University, Punjab, India","2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC)","15 Jan 2021","2020","","","318","323","Digital image is one of the primary way of communication in the present digital world. During the acquiring process, the images may become noisy. Noise reduction is a demanding task during the image analysis process without dissimilating the important features. It is the procedure of restoring the original image by discarding unwanted noises and known as Image denoising. The main intention of any noise removal technique is to completely eradicate the noise from the image, such that the resulting image is better than the original image. In this digital era, remote sensing images are widely commercial for environmental monitoring. In this study, a correlative analysis of different noise removal methods using various filters in spectral images is performed. Spectral images are introduced with different types of noise and further filters are applied to denoise the image. The performances of the methods are evaluated using benchmarks: Signal-to-Noise Ratio (SNR) and Peak Signal-to-N oise Ratio (PSNR). Experimental results demonstrate that the SNR and PSNR measures were comparatively higher for all the filters when the image is introduced with Poisson noise.","2573-3079","978-1-7281-7132-6","10.1109/PDGC50313.2020.9315749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315749","Spectral Images;Image Noise;Image Denoising;Signal to Noise Ratio","Wiener filters;Nonlinear filters;Maximum likelihood detection;Adaptive filters;Noise reduction;Image denoising;Hyperspectral imaging","","4","","42","IEEE","15 Jan 2021","6-8 Nov. 2020","6-8 Nov. 2020","IEEE","IEEE Conferences"
"Underwater Image Denoising Based on Non-Local Methods","Q. Jiang; G. Wang; T. Ji; P. Wang","College of Information Science & Engineering, Ocean University of China, Qindao, China; College of Information Science & Engineering, Ocean University of China, Qindao, China; College of Information Science & Engineering, Ocean University of China, Qindao, China; College of Information Science & Engineering, Ocean University of China, Qindao, China",2018 OCEANS - MTS/IEEE Kobe Techno-Oceans (OTO),"6 Dec 2018","2018","","","1","5","Due to the medium scattering and light absorption, the acquired underwater optical images suffer from poor visibility. Absorption and scattering effects are caused not only by the water itself but also by other floating particles. Moreover, backscattering is strengthened during the light is reflected and deflected multiple times by the suspended particles before reaching the camera. The backscattering gives rise to specific strong correlated noise together with a constant level degrading the image contrast. Although there are many effective dehazing methods to remove the veil background, they have ignored the influence of backscattering noise, which still exists in the dehazed images. In addition, because of the special characteristics of backscattering noise, the traditional image denoising methods are difficult to make sense, even cause distortion. Accordingly, this paper employed the non-local denoising methods which are referred to Non-Local Means algorithm and Block-Matching 3D collaborative filtering to suppress the backscattering noise. The experimental results show that they can effectively remove the backscattering noise of underwater image and achieve better image quality.","","978-1-5386-1654-3","10.1109/OCEANSKOBE.2018.8559290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8559290","underwater image;backscattering noise;NLM;BM3D","Backscatter;Image denoising;Wiener filters;Three-dimensional displays;Filtering;Imaging","","8","","16","IEEE","6 Dec 2018","28-31 May 2018","28-31 May 2018","IEEE","IEEE Conferences"
"Hybrid method for medical image denoising using Shearlet transform and bilateral filter","K. Thakur; O. Damodare; A. Sapkal","Dept. of Electronics and Telecommunication Engineering, College of Engineering, Pune, Maharashtra, India; Dept. of Electronics and Telecommunication Engineering, College of Engineering, Pune, Maharashtra, India; Dept. of Electronics and Telecommunication Engineering, College of Engineering, Pune, Maharashtra, India",2015 International Conference on Information Processing (ICIP),"13 Jun 2016","2015","","","220","224","To improve the results of image denoising, hybrid approach of transform domain and spatial domain filtering is found to be more advantageous. In our method, we proposed combination of Shearlet transform and bilateral filter as hybrid approach. In transform domain Shearlet transform provides better directionality as compared to other wavelet based transforms and in spatial domain Bilateral filter considers both geometric and photometric distance of the pixels for image denoising, so it reduces noise and preserves the edges unlike other spatial filters. Our proposed hybrid method proves best with respect to visible quality and quality metric PSNR as compared with other existing methods.","","978-1-4673-7758-4","10.1109/INFOP.2015.7489382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7489382","Shearlet transform;Bilateral filter;PSNR;Image denoising","Filter banks;Filtering theory;Noise measurement;Image denoising;Discrete wavelet transforms","","2","","16","IEEE","13 Jun 2016","16-19 Dec. 2015","16-19 Dec. 2015","IEEE","IEEE Conferences"
